"1001","1323","2024-01-01","Pipe Repair","200.00"
"1002","1528","2024-02-15","Water Heater Installation","500.00"
"1003","1537","2024-03-10","Drain Cleaning","150.00"
"1004","1541","2024-04-12","Faucet Repair","75.00"
"1005","1625","2024-05-08","Sewer Line Inspection","300.00"
"1006","1629","2024-06-20","Shower Installation","400.00"
"1007","1636","2024-07-05","Toilet Installation","250.00"
"1008","1780","2024-08-15","Sink Installation","175.00"
"1009","1852","2024-09-01","Pipe Replacement","225.00"
"1010","1924","2024-10-20","Water Line Repair","275.00"
